point_name,point_code,base_time,forecast_hour,valid_time,variable,value,forecast_type
장동,8000648,2026-05-10 20:00:00,67.0,2026-05-13 15:00:00,PCP,0.0,SHRT
장동,8000648,2026-05-10 20:00:00,68.0,2026-05-13 16:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,1.0,2026-05-10 21:00:00,PCP,0.0,VSRT
설천봉,8000314,2026-05-10 20:00:00,2.0,2026-05-10 22:00:00,PCP,0.0,VSRT
설천봉,8000314,2026-05-10 20:00:00,3.0,2026-05-10 23:00:00,PCP,0.0,VSRT
설천봉,8000314,2026-05-10 20:00:00,4.0,2026-05-11 00:00:00,PCP,0.0,VSRT
설천봉,8000314,2026-05-10 20:00:00,5.0,2026-05-11 01:00:00,PCP,0.0,VSRT
설천봉,8000314,2026-05-10 20:00:00,6.0,2026-05-11 02:00:00,PCP,0.0,VSRT
설천봉,8000314,2026-05-10 20:00:00,7.0,2026-05-11 03:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,8.0,2026-05-11 04:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,9.0,2026-05-11 05:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,10.0,2026-05-11 06:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,11.0,2026-05-11 07:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,12.0,2026-05-11 08:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,13.0,2026-05-11 09:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,14.0,2026-05-11 10:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,15.0,2026-05-11 11:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,16.0,2026-05-11 12:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,17.0,2026-05-11 13:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,18.0,2026-05-11 14:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,19.0,2026-05-11 15:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,20.0,2026-05-11 16:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,21.0,2026-05-11 17:00:00,PCP,6.0,SHRT
